I_normalized,V_normalized
0.000000000000000000e+00,2.159431522206638991e-11
1.000000000000000021e-02,1.929883024159449179e-01
2.000000000000000042e-02,3.102341868544365444e-01
2.999999999999999889e-02,5.986456340792023489e-01
4.000000000000000083e-02,7.984422900132076562e-01
5.000000000000000278e-02,9.909252143376630073e-01
5.999999999999999778e-02,1.199237599648017349e+00
7.000000000000000666e-02,1.399249821480287315e+00
8.000000000000000167e-02,1.572207959343888684e+00
8.999999999999999667e-02,1.799481140726811423e+00
1.000000000000000056e-01,1.999551722960601241e+00
1.100000000000000006e-01,2.182598153319502465e+00
1.199999999999999956e-01,2.399558502293024365e+00
1.300000000000000044e-01,2.599655074955385725e+00
1.400000000000000133e-01,2.792146951454281378e+00
1.499999999999999944e-01,2.999657235218836426e+00
1.600000000000000033e-01,3.199737861683708662e+00
1.700000000000000122e-01,3.396436074213494027e+00
1.799999999999999933e-01,3.599573191091014479e+00
1.900000000000000022e-01,3.799748064847821460e+00
2.000000000000000111e-01,3.998060330515459171e+00
2.099999999999999922e-01,4.199685704235236905e+00
2.200000000000000011e-01,4.399815964597215689e+00
2.300000000000000100e-01,4.598687769327707286e+00
2.399999999999999911e-01,4.799494084562191176e+00
2.500000000000000000e-01,4.999848979950154870e+00
2.600000000000000089e-01,5.199051422468747852e+00
2.700000000000000178e-01,5.399614565431409829e+00
2.800000000000000266e-01,5.599768955801444292e+00
2.899999999999999800e-01,5.799191417273764415e+00
2.999999999999999889e-01,5.999653215130314798e+00
3.099999999999999978e-01,6.199821179460665022e+00
3.200000000000000067e-01,6.399210411848895497e+00
3.300000000000000155e-01,6.599555627304172667e+00
3.400000000000000244e-01,6.799871462313841874e+00
3.500000000000000333e-01,6.999087260284836631e+00
3.599999999999999867e-01,7.199639198861153666e+00
3.699999999999999956e-01,7.399775599191927178e+00
3.800000000000000044e-01,7.598290193119507485e+00
3.900000000000000133e-01,7.799759740017643495e+00
4.000000000000000222e-01,7.999813710572674097e+00
4.100000000000000311e-01,8.197454785835198265e+00
4.199999999999999845e-01,8.399730616221235735e+00
4.299999999999999933e-01,8.599751266693806073e+00
4.400000000000000022e-01,8.793600511972915257e+00
4.500000000000000111e-01,8.999793457227028171e+00
4.600000000000000200e-01,9.199778998462809554e+00
4.700000000000000289e-01,9.398091360883382706e+00
4.799999999999999822e-01,9.599838582980293467e+00
4.899999999999999911e-01,9.799493001898561317e+00
5.000000000000000000e-01,9.999349547724673215e+00
5.100000000000000089e-01,1.019979883841464208e+01
5.200000000000000178e-01,1.039863930872438935e+01
5.300000000000000266e-01,1.059968451547930890e+01
5.400000000000000355e-01,1.079978878874485915e+01
5.500000000000000444e-01,1.099512691961656152e+01
5.600000000000000533e-01,1.119971142875458625e+01
5.700000000000000622e-01,1.139939479279237311e+01
5.799999999999999600e-01,1.159943370460097078e+01
5.899999999999999689e-01,1.179972919636842121e+01
5.999999999999999778e-01,1.199494244046455727e+01
6.099999999999999867e-01,1.219974294060470932e+01
6.199999999999999956e-01,1.239942711266155939e+01
6.300000000000000044e-01,1.259929309920879525e+01
6.400000000000000133e-01,1.279967751406919696e+01
6.500000000000000222e-01,1.299324817418994726e+01
6.600000000000000311e-01,1.319957487349212322e+01
6.700000000000000400e-01,1.339861600123698970e+01
6.800000000000000488e-01,1.359942293059254048e+01
6.900000000000000577e-01,1.379937247298614977e+01
7.000000000000000666e-01,1.399892746249179254e+01
7.099999999999999645e-01,1.419943325391957245e+01
7.199999999999999734e-01,1.439691943918873562e+01
7.299999999999999822e-01,1.459940909815497712e+01
7.399999999999999911e-01,1.479065771315777056e+01
7.500000000000000000e-01,1.499927827689873361e+01
7.600000000000000089e-01,1.519306233840381815e+01
7.700000000000000178e-01,1.539910649680207477e+01
7.800000000000000266e-01,1.559183296793621487e+01
7.900000000000000355e-01,1.579880650713034917e+01
8.000000000000000444e-01,1.598831112216895711e+01
8.100000000000000533e-01,1.619856017294855732e+01
8.200000000000000622e-01,1.639361326357396820e+01
8.300000000000000711e-01,1.659808297819972367e+01
8.399999999999999689e-01,1.679694197472192840e+01
8.499999999999999778e-01,1.699543554275399870e+01
8.599999999999999867e-01,1.719688081411267788e+01
8.699999999999999956e-01,1.737493355965637676e+01
8.800000000000000044e-01,1.759369482091956627e+01
8.900000000000000133e-01,1.779301344123645734e+01
9.000000000000000222e-01,1.795576279828591026e+01
9.100000000000000311e-01,1.817713565138554088e+01
9.200000000000000400e-01,1.837507702238028884e+01
9.300000000000000488e-01,1.855127258764748532e+01
9.400000000000000577e-01,1.866728019409661243e+01
9.500000000000000666e-01,1.869551044867125000e+01
9.599999999999999645e-01,1.883601276807705815e+01
9.699999999999999734e-01,1.885566716456268566e+01
9.799999999999999822e-01,1.886968415039456914e+01
9.899999999999999911e-01,1.887749404447419721e+01
1.000000000000000000e+00,1.888194545472739705e+01
1.010000000000000009e+00,1.888845956406136395e+01
1.020000000000000018e+00,1.889108447532076340e+01
1.030000000000000027e+00,1.889160685195114198e+01
1.040000000000000036e+00,1.889574807144483870e+01
1.050000000000000044e+00,1.890840224156105265e+01
1.060000000000000053e+00,1.890412608911671555e+01
1.070000000000000062e+00,1.890799006862255638e+01
1.080000000000000071e+00,2.159905642861459540e+01
1.090000000000000080e+00,2.179916483653216019e+01
1.100000000000000089e+00,2.199920129501206034e+01
