I_normalized,V_normalized
0.000000000000000000e+00,-4.273301259703135033e-12
1.000000000000000021e-02,1.917543269634486569e-01
2.000000000000000042e-02,2.936283904788503096e-01
2.999999999999999889e-02,5.977572187847377538e-01
4.000000000000000083e-02,7.968294994376998730e-01
5.000000000000000278e-02,9.283699658400790256e-01
5.999999999999999778e-02,1.198695289349325011e+00
7.000000000000000666e-02,1.398598600071440989e+00
8.000000000000000167e-02,1.555861214840108975e+00
8.999999999999999667e-02,1.799051721837503059e+00
1.000000000000000056e-01,1.999144633302526453e+00
1.100000000000000006e-01,2.175333327173375242e+00
1.199999999999999956e-01,2.399142439762473433e+00
1.300000000000000044e-01,2.599354305948959443e+00
1.400000000000000133e-01,2.787607442197832075e+00
1.499999999999999944e-01,2.999154972019598464e+00
1.600000000000000033e-01,3.199474402301347276e+00
1.700000000000000122e-01,3.393781258525082389e+00
1.799999999999999933e-01,3.599158291758278949e+00
1.900000000000000022e-01,3.799546941871356331e+00
2.000000000000000111e-01,3.996546675518239500e+00
2.099999999999999922e-01,4.198992220790225716e+00
2.200000000000000011e-01,4.399567550775941527e+00
2.300000000000000100e-01,4.597410685029140964e+00
2.399999999999999911e-01,4.799034597342253683e+00
2.500000000000000000e-01,4.999600283965537351e+00
2.600000000000000089e-01,5.198167975877842295e+00
2.700000000000000178e-01,5.398931011330019736e+00
2.800000000000000266e-01,5.599606183300601003e+00
2.899999999999999800e-01,5.798264311084991185e+00
2.999999999999999889e-01,5.999118119789882186e+00
3.099999999999999978e-01,6.199564888417443242e+00
3.200000000000000067e-01,6.398163160766929813e+00
3.300000000000000155e-01,6.599057713968151440e+00
3.400000000000000244e-01,6.799514257987942401e+00
3.500000000000000333e-01,6.997841241753321562e+00
3.599999999999999867e-01,7.199047653545016523e+00
3.699999999999999956e-01,7.399462718844277198e+00
3.800000000000000044e-01,7.596803495182189891e+00
3.900000000000000133e-01,7.799090609140719721e+00
4.000000000000000222e-01,7.999409933739678458e+00
4.100000000000000311e-01,8.193767066772382535e+00
4.199999999999999845e-01,8.399217141496661654e+00
4.299999999999999933e-01,8.599288054272301807e+00
4.400000000000000022e-01,8.784805884142084409e+00
4.500000000000000111e-01,8.999226305467340481e+00
4.600000000000000200e-01,9.199012885564661346e+00
4.700000000000000289e-01,9.391989225236631711e+00
4.799999999999999822e-01,9.599045663193400912e+00
4.899999999999999911e-01,9.798209315684111687e+00
5.000000000000000000e-01,9.997101671736116302e+00
5.100000000000000089e-01,1.019890559111150274e+01
5.200000000000000178e-01,1.039466320201488436e+01
5.300000000000000266e-01,1.059829437975801980e+01
5.400000000000000355e-01,1.079828507854572095e+01
5.500000000000000444e-01,1.097096259812909125e+01
5.600000000000000533e-01,1.119811283851381845e+01
5.700000000000000622e-01,1.139637609179329836e+01
5.799999999999999600e-01,1.159571490545613415e+01
5.899999999999999689e-01,1.179719873308545708e+01
5.999999999999999778e-01,1.197658653181101585e+01
6.099999999999999867e-01,1.219583891917423379e+01
6.199999999999999956e-01,1.239251247398530786e+01
6.300000000000000044e-01,1.258896242733800541e+01
6.400000000000000133e-01,1.279182417963851748e+01
6.500000000000000222e-01,1.294951353392632676e+01
6.600000000000000311e-01,1.318425623295927451e+01
6.700000000000000400e-01,1.336063078823047512e+01
6.800000000000000488e-01,1.342686357364811833e+01
6.900000000000000577e-01,1.371078343105362407e+01
7.000000000000000666e-01,1.379519939060307365e+01
7.099999999999999645e-01,1.382834133100574014e+01
7.199999999999999734e-01,1.384648902801361103e+01
7.299999999999999822e-01,1.385897688543502326e+01
7.399999999999999911e-01,1.386584170006454642e+01
7.500000000000000000e-01,1.387015494795623205e+01
7.600000000000000089e-01,1.387573237606346588e+01
7.700000000000000178e-01,1.388208409173484270e+01
7.800000000000000266e-01,1.388669096128480618e+01
7.900000000000000355e-01,1.389196723410132428e+01
8.000000000000000444e-01,1.388938980077472074e+01
8.100000000000000533e-01,1.389040839691653240e+01
8.200000000000000622e-01,1.390171223487136309e+01
8.300000000000000711e-01,1.389974719010668558e+01
8.399999999999999689e-01,1.390440692728592609e+01
8.499999999999999778e-01,1.390443246411725653e+01
8.599999999999999867e-01,1.390549683638474754e+01
8.699999999999999956e-01,1.739703808712380351e+01
8.800000000000000044e-01,1.759893657819122836e+01
8.900000000000000133e-01,1.779911709515511831e+01
9.000000000000000222e-01,1.799859306994041219e+01
9.100000000000000311e-01,1.819871608929494045e+01
9.200000000000000400e-01,1.839926864567407705e+01
9.300000000000000488e-01,1.859940204946009246e+01
9.400000000000000577e-01,1.879939523705745685e+01
9.500000000000000666e-01,1.899957177137398290e+01
9.599999999999999645e-01,1.919951781181591954e+01
9.699999999999999734e-01,1.939952187588616894e+01
9.799999999999999822e-01,1.959950324106715414e+01
9.899999999999999911e-01,1.979970977711068159e+01
1.000000000000000000e+00,1.999973085676927909e+01
1.010000000000000009e+00,2.019970539788690189e+01
1.020000000000000018e+00,2.039978076173965604e+01
1.030000000000000027e+00,2.059981668976038094e+01
1.040000000000000036e+00,2.079978753688992654e+01
1.050000000000000044e+00,2.099983215715961649e+01
1.060000000000000053e+00,2.119979242389758767e+01
1.070000000000000062e+00,2.139982975445530045e+01
1.080000000000000071e+00,2.159981731177696673e+01
1.090000000000000080e+00,2.179986896465358726e+01
1.100000000000000089e+00,2.199985702811227739e+01
