I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p05Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p15Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p25Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p35Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p45Phi0,V_normalized_flux_8p5Phi0
8.399999999999999689e-01,-3.517068539912431101e-12,1.679990394528079989e+01,1.679985728258311539e+01,1.679968582348325512e+01,1.679943980019926997e+01,1.390440692728592609e+01,1.594646481027789342e+01,1.678430592787927011e+01,1.679694197472192840e+01,1.679832028655474474e+01,1.679852153841714824e+01
8.499999999999999778e-01,-6.470362280473080517e-12,1.699987606961333242e+01,1.699982918819937794e+01,1.699971471469798701e+01,1.699929368194995050e+01,1.390443246411725653e+01,1.594683817073307708e+01,1.697752765342644565e+01,1.699543554275399870e+01,1.699750559579229403e+01,1.699767395305613960e+01
8.599999999999999867e-01,-2.731616144359927786e-12,1.719988699940492438e+01,1.719984539546819846e+01,1.719976764052107399e+01,1.719961226815759758e+01,1.390549683638474754e+01,1.595382845202861688e+01,1.717345257928737823e+01,1.719688081411267788e+01,1.719835076842919364e+01,1.719868613818389491e+01
8.699999999999999956e-01,7.108659833953716802e-12,1.739987419435882643e+01,1.739978917731528085e+01,1.739960798914502860e+01,1.739915843516460114e+01,1.739703808712380351e+01,1.596118850431891190e+01,1.731702617593218108e+01,1.737493355965637676e+01,1.739118615709472593e+01,1.739291843996186060e+01
8.800000000000000044e-01,-6.119266280644579028e-12,1.759989116003713505e+01,1.759985358466126470e+01,1.759980943786597862e+01,1.759960665662609713e+01,1.759893657819122836e+01,1.596667032042959988e+01,1.735601285575213737e+01,1.759369482091956627e+01,1.759730275286392143e+01,1.759760626511112136e+01
8.900000000000000133e-01,6.804018892091689764e-12,1.779991808394331088e+01,1.779988475846897344e+01,1.779981432539250719e+01,1.779964463318741252e+01,1.779911709515511831e+01,1.596075934461597967e+01,1.756933711494093586e+01,1.779301344123645734e+01,1.779728833261957277e+01,1.779785768980072547e+01
9.000000000000000222e-01,-4.896790899057719602e-12,1.799993332226557996e+01,1.799990030374645755e+01,1.799981968785444764e+01,1.799954352684607883e+01,1.799859306994041219e+01,1.597383944501049591e+01,1.759776537538716923e+01,1.795576279828591026e+01,1.799157749551021013e+01,1.799375025174285980e+01
9.100000000000000311e-01,-5.550431538547562336e-12,1.819990997107916897e+01,1.819986798650439042e+01,1.819976620827529246e+01,1.819951137839269961e+01,1.819871608929494045e+01,1.597532707670760388e+01,1.761555683680307993e+01,1.817713565138554088e+01,1.819134704450851103e+01,1.819348642526987447e+01
9.200000000000000400e-01,-3.550617676551442611e-12,1.839994221852294132e+01,1.839991983446794421e+01,1.839984176678399663e+01,1.839969827464719643e+01,1.839926864567407705e+01,1.597081674463922063e+01,1.762569704702307760e+01,1.837507702238028884e+01,1.839388759483567881e+01,1.839564594017899068e+01
9.300000000000000488e-01,-5.384361933642199864e-12,1.859993790144819670e+01,1.859991750797405885e+01,1.859985720659902242e+01,1.859974655165624569e+01,1.859940204946009246e+01,1.597542733414933736e+01,1.763160568286942720e+01,1.855127258764748532e+01,1.859276631061097618e+01,1.859502772542138160e+01
9.400000000000000577e-01,-3.168402525947052688e-12,1.879991390505040272e+01,1.879989173199973251e+01,1.879982255894179843e+01,1.879970801538742720e+01,1.879939523705745685e+01,1.598025013724587851e+01,1.763442134661058347e+01,1.866728019409661243e+01,1.878905526008064442e+01,1.879306928991397996e+01
9.500000000000000666e-01,4.552765334410187517e-12,1.899995149696734487e+01,1.899991854828026661e+01,1.899989688190910542e+01,1.899979896938378232e+01,1.899957177137398290e+01,1.899862991282891755e+01,1.764638539287593844e+01,1.869551044867125000e+01,1.898222428902379022e+01,1.898991292109890594e+01
9.599999999999999645e-01,-2.107685945123704821e-12,1.919992625844016843e+01,1.919989538195052603e+01,1.919985843578662355e+01,1.919975327008443955e+01,1.919951781181591954e+01,1.919883833694878561e+01,1.764351023995326528e+01,1.883601276807705815e+01,1.916860024633831117e+01,1.918531435197800050e+01
9.699999999999999734e-01,-3.268970600588811128e-12,1.939992330710901314e+01,1.939988883782426754e+01,1.939985123403224065e+01,1.939974511791522360e+01,1.939952187588616894e+01,1.939885438741091050e+01,1.765321704423940474e+01,1.885566716456268566e+01,1.934006358903916833e+01,1.937606391090542601e+01
9.799999999999999822e-01,-2.088735022020112337e-12,1.959993683290266375e+01,1.959991095401029426e+01,1.959987136680491560e+01,1.959976298956702578e+01,1.959950324106715414e+01,1.959874549258439913e+01,1.765314453843443587e+01,1.886968415039456914e+01,1.943445375021525834e+01,1.954838040044986869e+01
9.899999999999999911e-01,8.935019915609764893e-13,1.979993403224498039e+01,1.979992559998319379e+01,1.979986941462897576e+01,1.979983701987264055e+01,1.979970977711068159e+01,1.979907552957480377e+01,1.765392888353375511e+01,1.887749404447419721e+01,1.954580834755477525e+01,1.968476915076977463e+01
1.000000000000000000e+00,1.999995888702753533e+01,1.999995001035386011e+01,1.999993124969663683e+01,1.999990260373152751e+01,1.999984817560233807e+01,1.999973085676927909e+01,1.999941626082215862e+01,1.766130321296048322e+01,1.888194545472739705e+01,1.956952500266068995e+01,1.978445276956011156e+01
1.010000000000000009e+00,2.019995635820307456e+01,2.019998675898270335e+01,2.019998295371453523e+01,2.019996929648168660e+01,2.019988434578746350e+01,2.019970539788690189e+01,2.019956052766531229e+01,1.766733737228470957e+01,1.888845956406136395e+01,1.961395510221507621e+01,1.984773358893650652e+01
1.020000000000000018e+00,2.039997306534354138e+01,2.039996347522405173e+01,2.039995231503133155e+01,2.039993943213497474e+01,2.039986400837347347e+01,2.039978076173965604e+01,2.039956717799060470e+01,2.039893527382229621e+01,1.889108447532076340e+01,1.963528534883542775e+01,1.987077908711467344e+01
1.030000000000000027e+00,2.059998644746870866e+01,2.059996175181251132e+01,2.059994276670139612e+01,2.059993385149160616e+01,2.059985200823541618e+01,2.059981668976038094e+01,2.059957314194915767e+01,2.059916480701680541e+01,1.889160685195114198e+01,1.965300922894443048e+01,1.989218819641118330e+01
1.040000000000000036e+00,2.079997389533205521e+01,2.079998520574655529e+01,2.079997397295181472e+01,2.079997384709616881e+01,2.079987971327876650e+01,2.079978753688992654e+01,2.079965530884607716e+01,2.079925546720787111e+01,1.889574807144483870e+01,1.966079647320960078e+01,1.991081997668631232e+01
1.050000000000000044e+00,2.099996270929018038e+01,2.099996082942152142e+01,2.099996786161013773e+01,2.099995466672919520e+01,2.099992762505904409e+01,2.099983215715961649e+01,2.099967378899070880e+01,2.099928030940709434e+01,1.890840224156105265e+01,1.966640038132300816e+01,1.991995895638687131e+01
1.060000000000000053e+00,2.119996087437369070e+01,2.119999276448038117e+01,2.119999891905923661e+01,2.119999912939287512e+01,2.119992026690426457e+01,2.119979242389758767e+01,2.119973024017189189e+01,2.119942569377332120e+01,1.890412608911671555e+01,1.967198877542108093e+01,1.992693469055047828e+01
1.070000000000000062e+00,2.139997257125306618e+01,2.139998767883615116e+01,2.139998883724179279e+01,2.139998979429255499e+01,2.139991533827490855e+01,2.139982975445530045e+01,2.139972187733532039e+01,2.139944005209441258e+01,1.890799006862255638e+01,1.967694856176481011e+01,1.993273789576370447e+01
1.080000000000000071e+00,2.159995597193967853e+01,2.159997964309220464e+01,2.159999889268738471e+01,2.159999300718465420e+01,2.159995627333943347e+01,2.159981731177696673e+01,2.159978942655001433e+01,2.159952874684874402e+01,2.159905642861459540e+01,1.967802299361504836e+01,1.993750151416895378e+01
1.090000000000000080e+00,2.179998418739192800e+01,2.179998446297912551e+01,2.179998463912563977e+01,2.179998639960776785e+01,2.179992556688116778e+01,2.179986896465358726e+01,2.179975872332003917e+01,2.179956283026329444e+01,2.179916483653216019e+01,1.968073987695336413e+01,1.994307493813907683e+01
1.100000000000000089e+00,2.199998682345085399e+01,2.199996717109328159e+01,2.199998184152884306e+01,2.199997468319105209e+01,2.199996734529280928e+01,2.199985702811227739e+01,2.199983085439020414e+01,2.199960385014615483e+01,2.199920129501206034e+01,1.968497952898313841e+01,1.994757511926070492e+01
