I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p05Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p15Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p25Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p35Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p45Phi0,V_normalized_flux_8p5Phi0
4.100000000000000311e-01,6.688453153341190341e-13,8.196828389534632109e+00,5.560452455462977284e+00,8.136635088837364194e+00,8.187406277561850132e+00,8.193767066772382535e+00,8.195954676386525861e+00,8.196906834388924423e+00,8.197454785835198265e+00,8.197641554060352220e+00,8.197750960047542890e+00
4.199999999999999845e-01,1.088718587838036513e-13,8.398749706980785490e+00,5.564809930631123613e+00,8.188578053091397635e+00,8.397727521295728081e+00,8.399217141496661654e+00,8.399539168499719821e+00,8.399704432325712844e+00,8.399730616221235735e+00,8.399748964385885586e+00,8.399810129763611855e+00
4.299999999999999933e-01,-8.439490543780968513e-13,8.598968343509115542e+00,5.561159694733829539e+00,8.206642795797669976e+00,8.597752724003390412e+00,8.599288054272301807e+00,8.599556045112022318e+00,8.599784758303300691e+00,8.599751266693806073e+00,8.599792740007695002e+00,8.599880951775306315e+00
4.400000000000000022e-01,-9.564863318996106221e-13,8.795910669548975491e+00,5.568293622319259839e+00,8.626776547262986483e+00,8.771733590746602971e+00,8.784805884142084409e+00,8.789782868355516143e+00,8.792288002158086258e+00,8.793600511972915257e+00,8.794268800037443157e+00,8.794450303158996007e+00
4.500000000000000111e-01,-6.581942608758309504e-13,8.999100504951041302e+00,8.996735073532358129e+00,8.675458416320863009e+00,8.997176286979218673e+00,8.999226305467340481e+00,8.999616184903917571e+00,8.999737508148111687e+00,8.999793457227028171e+00,8.999764343993250648e+00,8.999829638405415722e+00
4.600000000000000200e-01,-2.204492127002272962e-13,9.199059233990270812e+00,9.168745866241918563e+00,8.683947722361708088e+00,9.196249545435655648e+00,9.199012885564661346e+00,9.199532224546251413e+00,9.199707092268981867e+00,9.199778998462809554e+00,9.199745791848792820e+00,9.199756986399613368e+00
4.700000000000000289e-01,2.242987867610389978e-13,9.398569199905326244e+00,9.390328158317096552e+00,8.694889897916743493e+00,9.344052941216192565e+00,9.391989225236631711e+00,9.396207315168616958e+00,9.397503011460237587e+00,9.398091360883382706e+00,9.398301408543966673e+00,9.398283210498705742e+00
4.799999999999999822e-01,3.948735567356016654e-13,9.599229047567231277e+00,9.597922988190788374e+00,8.703500957451108633e+00,9.595976127567086067e+00,9.599045663193400912e+00,9.599513567943224857e+00,9.599803993745348762e+00,9.599838582980293467e+00,9.599761676806600974e+00,9.599865043694171263e+00
4.899999999999999911e-01,2.195566042091529824e-13,9.799258817653056397e+00,9.797796878460546921e+00,8.708767017792803600e+00,9.792057713235934102e+00,9.798209315684111687e+00,9.799155052629641816e+00,9.799425220053844754e+00,9.799493001898561317e+00,9.799638407657454309e+00,9.799632244207714393e+00
5.000000000000000000e-01,-3.817181642621654294e-13,9.999331614060961826e+00,9.997715438673326460e+00,8.710078781846968710e+00,9.901018594217187996e+00,9.997101671736116302e+00,9.998748499387097866e+00,9.999114627785806064e+00,9.999349547724673215e+00,9.999524594926258558e+00,9.999543705917588454e+00
