I_normalized,V_normalized
0.000000000000000000e+00,2.468117352894493779e-11
1.000000000000000021e-02,-4.353932979048523435e-13
2.000000000000000042e-02,2.315224529746601856e-13
2.999999999999999889e-02,1.213643208031387066e-12
4.000000000000000083e-02,2.663074268129790358e-12
5.000000000000000278e-02,7.136709282342939223e-13
5.999999999999999778e-02,-1.273767137292375543e-12
7.000000000000000666e-02,4.341803330940432848e-13
8.000000000000000167e-02,1.681483683374149250e-12
8.999999999999999667e-02,-4.664211224905917974e-13
1.000000000000000056e-01,-1.275645647779852724e-12
1.100000000000000006e-01,9.872760363585983370e-13
1.199999999999999956e-01,7.863833428624364539e-13
1.300000000000000044e-01,-1.387989274773924239e-12
1.400000000000000133e-01,-5.927491308174956890e-14
1.499999999999999944e-01,1.275804362571431943e-12
1.600000000000000033e-01,-9.439049262870020174e-13
1.700000000000000122e-01,-1.228116961979081934e-13
1.799999999999999933e-01,1.134494959363741055e-12
1.900000000000000022e-01,-1.075642769103101342e-12
2.000000000000000111e-01,3.297788900695388787e-13
2.099999999999999922e-01,4.609146971107508035e-13
2.200000000000000011e-01,-9.649897248154679946e-13
2.300000000000000100e-01,8.866628193087819021e-13
2.399999999999999911e-01,-7.454768119236621585e-13
2.500000000000000000e-01,5.481404556289353737e-13
2.600000000000000089e-01,-1.755939450714335662e-13
2.700000000000000178e-01,-1.517078937092631662e-14
2.800000000000000266e-01,-5.307360399977479056e-15
2.899999999999999800e-01,-2.761702091556105116e-14
2.999999999999999889e-01,-3.229959891564423972e-14
3.099999999999999978e-01,1.785262744033457920e-13
3.200000000000000067e-01,-2.341325807709639843e-13
3.300000000000000155e-01,2.491376581061668360e-13
3.400000000000000244e-01,-1.169211354921346491e-13
3.500000000000000333e-01,9.439298792414352098e-14
3.599999999999999867e-01,-1.118164461151725495e-13
3.699999999999999956e-01,3.217493346254800100e-13
3.800000000000000044e-01,8.937629539945057541e-15
3.900000000000000133e-01,-4.020290135800674972e-13
4.000000000000000222e-01,1.159626714279289931e-13
4.100000000000000311e-01,6.973869133245004090e-13
4.199999999999999845e-01,7.139026845066451099e-14
4.299999999999999933e-01,-6.837573799387179010e-13
4.400000000000000022e-01,-9.835405050814373008e-13
4.500000000000000111e-01,-6.829058774028343775e-13
4.600000000000000200e-01,7.245799434029972243e-14
4.700000000000000289e-01,3.288016430227311956e-13
4.799999999999999822e-01,5.609916984362736044e-13
4.899999999999999911e-01,4.038338822019896924e-13
5.000000000000000000e-01,-8.018135591918829457e-14
5.100000000000000089e-01,-1.233665485420772633e-12
5.200000000000000178e-01,-2.117922330555738850e-12
5.300000000000000266e-01,-1.309783834094007989e-12
5.400000000000000355e-01,1.289355647931028613e-12
5.500000000000000444e-01,2.311790241563237915e-12
5.600000000000000533e-01,-1.742183053976797717e-12
5.700000000000000622e-01,-1.421314713035111765e-12
5.799999999999999600e-01,3.088651537283680809e-12
5.899999999999999689e-01,-3.147553059513356157e-12
5.999999999999999778e-01,2.873832268016033495e-12
6.099999999999999867e-01,-2.829181693238507371e-12
6.199999999999999956e-01,3.459505416679638466e-12
6.300000000000000044e-01,-4.131228867718525881e-12
6.400000000000000133e-01,-4.092952315830920582e-12
6.500000000000000222e-01,1.193237072025587765e-12
6.600000000000000311e-01,4.329824065414325466e-12
6.700000000000000400e-01,1.851281660716618708e-13
6.800000000000000488e-01,-3.864447089008589718e-12
6.900000000000000577e-01,-5.159400142327103429e-12
7.000000000000000666e-01,-5.146445388657823354e-12
7.099999999999999645e-01,-5.431566985498513245e-12
7.199999999999999734e-01,-4.256760994334225890e-12
7.299999999999999822e-01,-1.817365978569024028e-14
7.399999999999999911e-01,5.744688589400174649e-12
7.500000000000000000e-01,-8.857709339018925798e-13
7.600000000000000089e-01,-4.380978185327371289e-12
7.700000000000000178e-01,5.842584888694080375e-12
7.800000000000000266e-01,-5.945550389647284197e-12
7.900000000000000355e-01,4.366467846230949967e-12
8.000000000000000444e-01,2.383097648223982307e-12
8.100000000000000533e-01,-6.629228589017021787e-12
8.200000000000000622e-01,-4.684319953985798406e-12
8.300000000000000711e-01,-1.781400485921861511e-12
8.399999999999999689e-01,-1.961793501655830466e-12
8.499999999999999778e-01,-5.756851552130991476e-12
8.599999999999999867e-01,-5.358830914606231878e-12
8.699999999999999956e-01,6.132341754496453947e-12
8.800000000000000044e-01,-3.656605937701412202e-12
8.900000000000000133e-01,4.724121608197886131e-12
9.000000000000000222e-01,-6.570728524238740361e-12
9.100000000000000311e-01,-6.476253968612259145e-12
9.200000000000000400e-01,-5.964803302358128021e-12
9.300000000000000488e-01,-6.035242706685221591e-12
9.400000000000000577e-01,-2.844532647901217020e-13
9.500000000000000666e-01,2.859972761763835063e-12
9.599999999999999645e-01,5.856926802567720018e-13
9.699999999999999734e-01,-2.797525234725124663e-12
9.799999999999999822e-01,-3.121385436722892373e-13
9.899999999999999911e-01,4.874867052771617802e-13
1.000000000000000000e+00,1.999995867129976190e+01
1.010000000000000009e+00,2.019995618613027233e+01
1.020000000000000018e+00,2.039997330906773243e+01
1.030000000000000027e+00,2.059998659311844804e+01
1.040000000000000036e+00,2.079997442806895691e+01
1.050000000000000044e+00,2.099996254376703320e+01
1.060000000000000053e+00,2.119996071255904013e+01
1.070000000000000062e+00,2.139997210791442228e+01
1.080000000000000071e+00,2.159995630329785499e+01
1.090000000000000080e+00,2.179998461486134431e+01
1.100000000000000089e+00,2.199998585450605404e+01
