I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p5Phi0,V_normalized_flux_8p6Phi0,V_normalized_flux_8p7Phi0,V_normalized_flux_8p8Phi0,V_normalized_flux_8p9Phi0,V_normalized_flux_9Phi0,V_normalized_flux_9p1Phi0,V_normalized_flux_9p2Phi0,V_normalized_flux_9p3Phi0,V_normalized_flux_9p4Phi0,V_normalized_flux_9p5Phi0,V_normalized_flux_9p6Phi0,V_normalized_flux_9p7Phi0,V_normalized_flux_9p8Phi0,V_normalized_flux_9p9Phi0,V_normalized_flux_10Phi0
1.300000000000000044e-01,-1.360995222016129942e-12,2.594168562552196633e+00,2.599012803423308426e+00,2.599516544296109899e+00,2.599655074915144137e+00,2.599692927390906405e+00,2.599653074542240372e+00,2.599499295325423454e+00,2.599017726303747722e+00,2.594159261772955638e+00,1.751923783040344218e-12,2.594124474393802782e+00,2.598972077654967627e+00,2.599507085275850837e+00,2.599655682010411972e+00,2.599687972063147612e+00,2.599658109374767267e+00,2.599524546739799380e+00,2.598964783414535962e+00,2.594135172012148605e+00,-1.387989274773924239e-12
1.400000000000000133e-01,-1.482983507572415586e-13,2.761039877073794724e+00,2.783557134000619104e+00,2.790124330285565613e+00,2.792146951406560884e+00,2.792326029831972534e+00,2.792125746062801284e+00,2.790159051931412115e+00,2.783544618693314376e+00,2.761989810926642530e+00,2.628139798431956903e-13,2.760911826756358156e+00,2.783813907376795793e+00,2.789623952617185765e+00,2.792099177111401431e+00,2.793246191507176679e+00,2.792111393407421982e+00,2.789594988205667647e+00,2.783818811595236919e+00,2.761820140138405044e+00,-5.927491308174956890e-14
1.499999999999999944e-01,1.314083224861520791e-12,2.992143320495547876e+00,2.998813617647863250e+00,2.999500874809367890e+00,2.999657235222184415e+00,2.999550122336482882e+00,2.999673801368347270e+00,2.999479446658792625e+00,2.998829441258071604e+00,2.992123286549141170e+00,-2.172458078879258882e-12,2.992048443763189791e+00,2.998795986590957696e+00,2.999354922880923979e+00,2.999541131837949237e+00,2.999728521071226339e+00,2.999523290246325580e+00,2.999377328506873663e+00,2.998774571761925412e+00,2.992039763630256033e+00,1.275804362571431943e-12
1.600000000000000033e-01,-1.018064206046021230e-12,3.193902696691277132e+00,3.199181898984718053e+00,3.199622761342343136e+00,3.199737861684027962e+00,3.199743076681919707e+00,3.199755128697643336e+00,3.199612502500589262e+00,3.199192392010341557e+00,3.193711924519789136e+00,-2.784253573150228583e-13,3.193937267590378770e+00,3.199148347179516350e+00,3.199607505063593038e+00,3.199727167625680657e+00,3.199779300393490900e+00,3.199709486609462861e+00,3.199617990885176955e+00,3.199140247692864314e+00,3.193789677621559520e+00,-9.439049262870020174e-13
1.700000000000000122e-01,-1.815074543761838777e-13,3.368671426766520760e+00,3.391072489805556422e+00,3.395132066889294808e+00,3.396436074214114864e+00,3.396605091329733206e+00,3.396420548223462177e+00,3.395113573097376047e+00,3.391067286818170157e+00,3.368880668101663645e+00,-1.042882000586244684e-13,3.368430922137983341e+00,3.390890493474411294e+00,3.395163906311317703e+00,3.396434237424134306e+00,3.396955031142859127e+00,3.396446247423833942e+00,3.395179956397173182e+00,3.390890447550211295e+00,3.368661073462691835e+00,-1.228116961979081934e-13
1.799999999999999933e-01,1.047112479812455806e-12,3.421704303836495598e+00,3.598806883086167030e+00,3.599364734588159198e+00,3.599573191090620128e+00,3.599587847841403399e+00,3.599582474603029159e+00,3.599371432519781866e+00,3.598817319703746964e+00,3.424776047243328403e+00,-1.455841936721531048e-12,3.423026375732961313e+00,3.598663549618333679e+00,3.599470771148590487e+00,3.599619743205904498e+00,3.599687742508042465e+00,3.599609834365139260e+00,3.599463931842596498e+00,3.598655675194289305e+00,3.425893241135756551e+00,1.134494959363741055e-12
1.900000000000000022e-01,-1.174115212611194513e-12,3.791888941741279773e+00,3.799232104417862299e+00,3.799685116626172920e+00,3.799748064847227269e+00,3.799807282300490474e+00,3.799727636525575658e+00,3.799634294434434345e+00,3.799228880643492623e+00,3.791851092508010002e+00,1.325826683888941140e-12,3.791884137226901874e+00,3.799234510849502922e+00,3.799658205503066100e+00,3.799803738613199311e+00,3.799793821871433330e+00,3.799824684020671306e+00,3.799709120522342332e+00,3.799242287956153596e+00,3.791863702782774403e+00,-1.075642769103101342e-12
2.000000000000000111e-01,3.535325695678458790e-13,3.970566273862660811e+00,3.994246028687610917e+00,3.997374758067895328e+00,3.998060330516759464e+00,3.998293636432984410e+00,3.998060454274314779e+00,3.997392826558998635e+00,3.994217088844882468e+00,3.969697922616338470e+00,6.287508666799376216e-13,3.970891325083238499e+00,3.994330875734319442e+00,3.997266633790559354e+00,3.998140232602723110e+00,3.998297308540616157e+00,3.998140671761479137e+00,3.997247162964105094e+00,3.994352294809493387e+00,3.970103119949150994e+00,3.297788900695388787e-13
2.099999999999999922e-01,4.667663821363557024e-13,4.034922423810925807e+00,4.198702730767815972e+00,4.199373127607874068e+00,4.199685704233329986e+00,4.199765773868761265e+00,4.199666289311139167e+00,4.199424808829777866e+00,4.198700392485031685e+00,4.031643331518087514e+00,-6.010552052681050332e-13,4.034012341729007467e+00,4.198345259907682703e+00,4.199403045165536419e+00,4.199475244775769056e+00,4.199484744521032376e+00,4.199496021464232953e+00,4.199350054061498305e+00,4.198349073230216000e+00,4.030981101486990958e+00,4.609146971107508035e-13
2.200000000000000011e-01,-8.775587887088899882e-13,4.387015500916071176e+00,4.399240624871825212e+00,4.399693510175466393e+00,4.399815964598085216e+00,4.399840782188316979e+00,4.399812422246868415e+00,4.399706496302400183e+00,4.399248727574808449e+00,4.387218488146589657e+00,6.592655800154427815e-13,4.387226379888800487e+00,4.399237561453484879e+00,4.399712233396344097e+00,4.399786416005993850e+00,4.399807634006504209e+00,4.399790736855753615e+00,4.399698876537351921e+00,4.399232228650697074e+00,4.387079741839658098e+00,-9.649897248154679946e-13
2.300000000000000100e-01,1.067055458651039455e-12,4.564414476983332136e+00,4.596141578862265042e+00,4.598360009919539415e+00,4.598687769325975339e+00,4.598850923177089101e+00,4.598674628571860268e+00,4.598376902745666683e+00,4.596103716157688091e+00,4.564516931985181714e+00,-1.168473513390652564e-12,4.564470035731106989e+00,4.596251610767431828e+00,4.598106537257508286e+00,4.598866412874574650e+00,4.598967774244731466e+00,4.598879380617398205e+00,4.598089024641781819e+00,4.596278743253373378e+00,4.564546356743360178e+00,8.866628193087819021e-13
