I_normalized,V_normalized
0.000000000000000000e+00,2.347391121295687954e-11
1.000000000000000021e-02,1.964269933644205990e-01
2.000000000000000042e-02,2.988145197363151206e-01
2.999999999999999889e-02,5.989245700125828131e-01
4.000000000000000083e-02,7.981286933080523616e-01
5.000000000000000278e-02,9.890792727527223382e-01
5.999999999999999778e-02,1.199444673961412633e+00
7.000000000000000666e-02,1.399111043480131045e+00
8.000000000000000167e-02,1.572651805676929637e+00
8.999999999999999667e-02,1.799543027795091454e+00
1.000000000000000056e-01,1.999473457622759742e+00
1.100000000000000006e-01,2.183723660697932889e+00
1.199999999999999956e-01,2.399626450753961304e+00
1.300000000000000044e-01,2.599658109374767267e+00
1.400000000000000133e-01,2.792111393407421982e+00
1.499999999999999944e-01,2.999523290246325580e+00
1.600000000000000033e-01,3.199709486609462861e+00
1.700000000000000122e-01,3.396446247423833942e+00
1.799999999999999933e-01,3.599609834365139260e+00
1.900000000000000022e-01,3.799824684020671306e+00
2.000000000000000111e-01,3.998140671761479137e+00
2.099999999999999922e-01,4.199496021464232953e+00
2.200000000000000011e-01,4.399790736855753615e+00
2.300000000000000100e-01,4.598879380617398205e+00
2.399999999999999911e-01,4.799639514169243171e+00
2.500000000000000000e-01,4.999802607061506698e+00
2.600000000000000089e-01,5.199090845172420039e+00
2.700000000000000178e-01,5.399497619120842806e+00
2.800000000000000266e-01,5.599884242593798689e+00
2.899999999999999800e-01,5.799207991384538907e+00
2.999999999999999889e-01,5.999434993803679284e+00
3.099999999999999978e-01,6.199836107880675407e+00
3.200000000000000067e-01,6.399227524590209271e+00
3.300000000000000155e-01,6.599646954585609571e+00
3.400000000000000244e-01,6.799777539344080246e+00
3.500000000000000333e-01,6.999096254408716078e+00
3.599999999999999867e-01,7.199689281837441612e+00
3.699999999999999956e-01,7.399880912839420510e+00
3.800000000000000044e-01,7.598334116183945497e+00
3.900000000000000133e-01,7.799677512626625564e+00
4.000000000000000222e-01,7.999814159780729739e+00
4.100000000000000311e-01,8.197368983864622649e+00
4.199999999999999845e-01,8.399777563181539008e+00
4.299999999999999933e-01,8.599798068827347208e+00
4.400000000000000022e-01,8.793653778250755337e+00
4.500000000000000111e-01,8.999809508179422934e+00
4.600000000000000200e-01,9.199713258311271957e+00
4.700000000000000289e-01,9.398002875280644375e+00
4.799999999999999822e-01,9.599798268433799464e+00
4.899999999999999911e-01,9.799500787276283376e+00
5.000000000000000000e-01,9.999486990982425993e+00
5.100000000000000089e-01,1.019978254822480146e+01
5.200000000000000178e-01,1.039865046388587544e+01
5.300000000000000266e-01,1.059967048787435040e+01
5.400000000000000355e-01,1.079970176708039631e+01
5.500000000000000444e-01,1.099513619819643040e+01
5.600000000000000533e-01,1.119978810112870171e+01
5.700000000000000622e-01,1.139954817911232077e+01
5.799999999999999600e-01,1.159944441753670219e+01
5.899999999999999689e-01,1.179975125247035628e+01
5.999999999999999778e-01,1.199473239059778962e+01
6.099999999999999867e-01,1.219961458340400284e+01
6.199999999999999956e-01,1.239943264939019407e+01
6.300000000000000044e-01,1.259933553526579608e+01
6.400000000000000133e-01,1.279958221145239250e+01
6.500000000000000222e-01,1.299289358347123269e+01
6.600000000000000311e-01,1.319959193154210730e+01
6.700000000000000400e-01,1.339878421996002267e+01
6.800000000000000488e-01,1.359943870060446436e+01
6.900000000000000577e-01,1.379935427866830722e+01
7.000000000000000666e-01,1.399896884101190686e+01
7.099999999999999645e-01,1.419942918780292018e+01
7.199999999999999734e-01,1.439668822238193435e+01
7.299999999999999822e-01,1.459938705524216473e+01
7.399999999999999911e-01,1.479118420621582075e+01
7.500000000000000000e-01,1.499922079757713078e+01
7.600000000000000089e-01,1.519239562787962683e+01
7.700000000000000178e-01,1.539905819249064756e+01
7.800000000000000266e-01,1.559242470111906087e+01
7.900000000000000355e-01,1.579893684802847886e+01
8.000000000000000444e-01,1.598797938646274552e+01
8.100000000000000533e-01,1.619870151099883770e+01
8.200000000000000622e-01,1.639338349302569853e+01
8.300000000000000711e-01,1.659791146710541199e+01
8.399999999999999689e-01,1.679696888538522614e+01
8.499999999999999778e-01,1.699505325233024777e+01
8.599999999999999867e-01,1.719681388247966325e+01
8.699999999999999956e-01,1.737441096283336250e+01
8.800000000000000044e-01,1.759354023539265555e+01
8.900000000000000133e-01,1.779300115483642131e+01
9.000000000000000222e-01,1.795426990460162742e+01
9.100000000000000311e-01,1.817717448371750777e+01
9.200000000000000400e-01,1.837480142774404968e+01
9.300000000000000488e-01,1.855144753266917590e+01
9.400000000000000577e-01,1.866655068914948501e+01
9.500000000000000666e-01,1.869724226640667197e+01
9.599999999999999645e-01,1.883762399712357194e+01
9.699999999999999734e-01,1.885764085258761824e+01
9.799999999999999822e-01,1.886975863210754056e+01
9.899999999999999911e-01,1.887991409881628968e+01
1.000000000000000000e+00,1.888553837090849186e+01
1.010000000000000009e+00,1.888876089628154276e+01
1.020000000000000018e+00,1.889407597971084840e+01
1.030000000000000027e+00,1.889816740348802782e+01
1.040000000000000036e+00,1.890250469196761784e+01
1.050000000000000044e+00,1.890008415496070882e+01
1.060000000000000053e+00,1.890742661902082133e+01
1.070000000000000062e+00,1.890982514578612594e+01
1.080000000000000071e+00,2.159899553232525804e+01
1.090000000000000080e+00,2.179916689606571722e+01
1.100000000000000089e+00,2.199918163074352151e+01
