I_normalized,V_normalized
0.000000000000000000e+00,2.193058847006885657e-11
1.000000000000000021e-02,1.933035908146798487e-01
2.000000000000000042e-02,3.052025831437510939e-01
2.999999999999999889e-02,5.988166268509558243e-01
4.000000000000000083e-02,7.985956105102789415e-01
5.000000000000000278e-02,9.915196514485521417e-01
5.999999999999999778e-02,1.199471724368913694e+00
7.000000000000000666e-02,1.399208828831244755e+00
8.000000000000000167e-02,1.575481562589796880e+00
8.999999999999999667e-02,1.799561925521714123e+00
1.000000000000000056e-01,1.999599106252115011e+00
1.100000000000000006e-01,2.185106631550074230e+00
1.199999999999999956e-01,2.399673565808946307e+00
1.300000000000000044e-01,2.599692927390906405e+00
1.400000000000000133e-01,2.792326029831972534e+00
1.499999999999999944e-01,2.999550122336482882e+00
1.600000000000000033e-01,3.199743076681919707e+00
1.700000000000000122e-01,3.396605091329733206e+00
1.799999999999999933e-01,3.599587847841403399e+00
1.900000000000000022e-01,3.799807282300490474e+00
2.000000000000000111e-01,3.998293636432984410e+00
2.099999999999999922e-01,4.199765773868761265e+00
2.200000000000000011e-01,4.399840782188316979e+00
2.300000000000000100e-01,4.598850923177089101e+00
2.399999999999999911e-01,4.799558307904758792e+00
2.500000000000000000e-01,4.999877731558730609e+00
2.600000000000000089e-01,5.199178974434246037e+00
2.700000000000000178e-01,5.399666896786482262e+00
2.800000000000000266e-01,5.599787382474511688e+00
2.899999999999999800e-01,5.799289169169589364e+00
2.999999999999999889e-01,5.999727492978983889e+00
3.099999999999999978e-01,6.199844694994804506e+00
3.200000000000000067e-01,6.399295955241359302e+00
3.300000000000000155e-01,6.599607816305244512e+00
3.400000000000000244e-01,6.799907253407202035e+00
3.500000000000000333e-01,6.999201999206598579e+00
3.599999999999999867e-01,7.199647123625254608e+00
3.699999999999999956e-01,7.399799972874558485e+00
3.800000000000000044e-01,7.598885799366913218e+00
3.900000000000000133e-01,7.799675680079063866e+00
4.000000000000000222e-01,7.999843514847482240e+00
4.100000000000000311e-01,8.197750896366185813e+00
4.199999999999999845e-01,8.399810126642009322e+00
4.299999999999999933e-01,8.599880961734088558e+00
4.400000000000000022e-01,8.794450303166431837e+00
4.500000000000000111e-01,8.999829638558427547e+00
4.600000000000000200e-01,9.199756986536081982e+00
4.700000000000000289e-01,9.398283210506882313e+00
4.799999999999999822e-01,9.599865043838471834e+00
4.899999999999999911e-01,9.799632244174087958e+00
5.000000000000000000e-01,9.999543705740524757e+00
5.100000000000000089e-01,1.019983317113232424e+01
5.200000000000000178e-01,1.039880896203134419e+01
5.300000000000000266e-01,1.059971569615864873e+01
5.400000000000000355e-01,1.079983374265190399e+01
5.500000000000000444e-01,1.099610485868083032e+01
5.600000000000000533e-01,1.119975837888162928e+01
5.700000000000000622e-01,1.139949438664345216e+01
5.799999999999999600e-01,1.159956289922016381e+01
5.899999999999999689e-01,1.179972887259387804e+01
5.999999999999999778e-01,1.199574731544592154e+01
6.099999999999999867e-01,1.219972642261007678e+01
6.199999999999999956e-01,1.239959370102016578e+01
6.300000000000000044e-01,1.259953508820894363e+01
6.400000000000000133e-01,1.279969108439443914e+01
6.500000000000000222e-01,1.299473835120226362e+01
6.600000000000000311e-01,1.319966035216406475e+01
6.700000000000000400e-01,1.339896494258438153e+01
6.800000000000000488e-01,1.359959133061146019e+01
6.900000000000000577e-01,1.379954938996718106e+01
7.000000000000000666e-01,1.399927541580770729e+01
7.099999999999999645e-01,1.419959767509260118e+01
7.199999999999999734e-01,1.439771850068180470e+01
7.299999999999999822e-01,1.459955707130876235e+01
7.399999999999999911e-01,1.479350745395122502e+01
7.500000000000000000e-01,1.499959080383966992e+01
7.600000000000000089e-01,1.519464283901474921e+01
7.700000000000000178e-01,1.539939100221950063e+01
7.800000000000000266e-01,1.559448878389450677e+01
7.900000000000000355e-01,1.579944873208825484e+01
8.000000000000000444e-01,1.599282759765334383e+01
8.100000000000000533e-01,1.619933058409112547e+01
8.200000000000000622e-01,1.639672656567876174e+01
8.300000000000000711e-01,1.659899344313762981e+01
8.399999999999999689e-01,1.679852153846139728e+01
8.499999999999999778e-01,1.699767397602047225e+01
8.599999999999999867e-01,1.719868613087050591e+01
8.699999999999999956e-01,1.739291843962283934e+01
8.800000000000000044e-01,1.759760626455192778e+01
8.900000000000000133e-01,1.779785768976181259e+01
9.000000000000000222e-01,1.799375024709740956e+01
9.100000000000000311e-01,1.819348642958140516e+01
9.200000000000000400e-01,1.839564594173164735e+01
9.300000000000000488e-01,1.859502773378073215e+01
9.400000000000000577e-01,1.879306929010897775e+01
9.500000000000000666e-01,1.898991292101012363e+01
9.599999999999999645e-01,1.918531435181253286e+01
9.699999999999999734e-01,1.937606390985941118e+01
9.799999999999999822e-01,1.954838039868803889e+01
9.899999999999999911e-01,1.968476915049551224e+01
1.000000000000000000e+00,1.978445276639549988e+01
1.010000000000000009e+00,1.984773354795749611e+01
1.020000000000000018e+00,1.987077909998006220e+01
1.030000000000000027e+00,1.989218820649865904e+01
1.040000000000000036e+00,1.991081998530962949e+01
1.050000000000000044e+00,1.991995897598649634e+01
1.060000000000000053e+00,1.992693472778453057e+01
1.070000000000000062e+00,1.993273787538259612e+01
1.080000000000000071e+00,1.993750150833359669e+01
1.090000000000000080e+00,1.994307493544530629e+01
1.100000000000000089e+00,1.994757515461628117e+01
