I_normalized,V_normalized
0.000000000000000000e+00,9.133985913878772758e-12
1.000000000000000021e-02,1.704919668437028801e-01
2.000000000000000042e-02,2.717255400335142346e-01
2.999999999999999889e-02,2.938482741824035571e-01
4.000000000000000083e-02,3.139661606820401407e-01
5.000000000000000278e-02,8.992934012423631218e-01
5.999999999999999778e-02,9.272542912951794447e-01
7.000000000000000666e-02,1.390609426323050402e+00
8.000000000000000167e-02,1.526104095650546499e+00
8.999999999999999667e-02,1.794157183590405547e+00
1.000000000000000056e-01,1.990470730089715978e+00
1.100000000000000006e-01,2.142932487228651262e+00
1.199999999999999956e-01,2.172091016531916274e+00
1.300000000000000044e-01,2.594168562552196633e+00
1.400000000000000133e-01,2.761039877073794724e+00
1.499999999999999944e-01,2.992143320495547876e+00
1.600000000000000033e-01,3.193902696691277132e+00
1.700000000000000122e-01,3.368671426766520760e+00
1.799999999999999933e-01,3.421704303836495598e+00
1.900000000000000022e-01,3.791888941741279773e+00
2.000000000000000111e-01,3.970566273862660811e+00
2.099999999999999922e-01,4.034922423810925807e+00
2.200000000000000011e-01,4.387015500916071176e+00
2.300000000000000100e-01,4.564414476983332136e+00
2.399999999999999911e-01,4.632700313781995760e+00
2.500000000000000000e-01,4.654771870069351003e+00
2.600000000000000089e-01,5.141113073270330958e+00
2.700000000000000178e-01,5.214169202235690470e+00
2.800000000000000266e-01,5.237309938928553343e+00
2.899999999999999800e-01,5.248897852486152260e+00
2.999999999999999889e-01,5.482206794660113403e+00
3.099999999999999978e-01,5.491381846148392754e+00
3.200000000000000067e-01,5.516233196551191043e+00
3.300000000000000155e-01,5.525651041157822796e+00
3.400000000000000244e-01,5.535031040969686345e+00
3.500000000000000333e-01,5.542391004947323729e+00
3.599999999999999867e-01,5.539125848550009223e+00
3.699999999999999956e-01,5.549500579697549618e+00
3.800000000000000044e-01,5.553160231096245347e+00
3.900000000000000133e-01,5.552133982339542584e+00
4.000000000000000222e-01,5.557637319698391920e+00
4.100000000000000311e-01,5.560452463296089221e+00
4.199999999999999845e-01,5.564809937639372706e+00
4.299999999999999933e-01,5.561159692938371535e+00
4.400000000000000022e-01,5.568293625345972053e+00
4.500000000000000111e-01,8.996735075744910048e+00
4.600000000000000200e-01,9.168717117889762847e+00
4.700000000000000289e-01,9.390330531299266426e+00
4.799999999999999822e-01,9.597924074505149505e+00
4.899999999999999911e-01,9.797797789611244923e+00
5.000000000000000000e-01,9.997714443661752881e+00
5.100000000000000089e-01,1.019860389650289179e+01
5.200000000000000178e-01,1.039727456418035167e+01
5.300000000000000266e-01,1.059872225225702991e+01
5.400000000000000355e-01,1.079891566643720680e+01
5.500000000000000444e-01,1.099491846676957074e+01
5.600000000000000533e-01,1.119915036153907195e+01
5.700000000000000622e-01,1.139903386353723924e+01
5.799999999999999600e-01,1.159911881075883500e+01
5.899999999999999689e-01,1.179931167663738556e+01
5.999999999999999778e-01,1.199705263864756866e+01
6.099999999999999867e-01,1.219937912224833809e+01
6.199999999999999956e-01,1.239940128426256827e+01
6.300000000000000044e-01,1.259938798317731568e+01
6.400000000000000133e-01,1.279952114227269888e+01
6.500000000000000222e-01,1.299826280528223243e+01
6.600000000000000311e-01,1.319956947979074613e+01
6.700000000000000400e-01,1.339947578100037973e+01
6.800000000000000488e-01,1.359963172757268524e+01
6.900000000000000577e-01,1.379965344586898368e+01
7.000000000000000666e-01,1.399967359628829477e+01
7.099999999999999645e-01,1.419970177322382909e+01
7.199999999999999734e-01,1.439946222535295739e+01
7.299999999999999822e-01,1.459974252138123241e+01
7.399999999999999911e-01,1.479920632180651552e+01
7.500000000000000000e-01,1.499979281086843486e+01
7.600000000000000089e-01,1.519942408268405210e+01
7.700000000000000178e-01,1.539977294820010201e+01
7.800000000000000266e-01,1.559950494129249066e+01
7.900000000000000355e-01,1.579979103423342757e+01
8.000000000000000444e-01,1.599955043622153283e+01
8.100000000000000533e-01,1.619986158795655840e+01
8.200000000000000622e-01,1.639977840460705494e+01
8.300000000000000711e-01,1.659985678191816660e+01
8.399999999999999689e-01,1.679985671818747406e+01
8.499999999999999778e-01,1.699982928475494859e+01
8.599999999999999867e-01,1.719984488912353982e+01
8.699999999999999956e-01,1.739978888735695151e+01
8.800000000000000044e-01,1.759985390460719401e+01
8.900000000000000133e-01,1.779988468902284637e+01
9.000000000000000222e-01,1.799990083159037368e+01
9.100000000000000311e-01,1.819986788177445902e+01
9.200000000000000400e-01,1.839991935848654947e+01
9.300000000000000488e-01,1.859991716690570485e+01
9.400000000000000577e-01,1.879989117130804033e+01
9.500000000000000666e-01,1.899991946370700191e+01
9.599999999999999645e-01,1.919989556766086736e+01
9.699999999999999734e-01,1.939988893340455789e+01
9.799999999999999822e-01,1.959991115112456583e+01
9.899999999999999911e-01,1.979992482804331999e+01
1.000000000000000000e+00,1.999993121341832136e+01
1.010000000000000009e+00,2.019998333103387012e+01
1.020000000000000018e+00,2.039995258129632916e+01
1.030000000000000027e+00,2.059994319609877067e+01
1.040000000000000036e+00,2.079997437445581099e+01
1.050000000000000044e+00,2.099996740252797522e+01
1.060000000000000053e+00,2.119999895983883320e+01
1.070000000000000062e+00,2.139998906788240163e+01
1.080000000000000071e+00,2.159999846344085839e+01
1.090000000000000080e+00,2.179998484897191346e+01
1.100000000000000089e+00,2.199998141205531610e+01
