I_normalized,V_normalized
0.000000000000000000e+00,-4.502643024631831539e-12
1.000000000000000021e-02,1.947148372508542002e-01
2.000000000000000042e-02,2.975146443491272774e-01
2.999999999999999889e-02,5.981950212054912841e-01
4.000000000000000083e-02,7.976913531106540889e-01
5.000000000000000278e-02,9.374701759275383406e-01
5.999999999999999778e-02,1.199129795910431229e+00
7.000000000000000666e-02,1.398826167714293245e+00
8.000000000000000167e-02,1.564353598113353838e+00
8.999999999999999667e-02,1.799282029265572680e+00
1.000000000000000056e-01,1.999340229895175902e+00
1.100000000000000006e-01,2.179160995955712554e+00
1.199999999999999956e-01,2.399483830950034591e+00
1.300000000000000044e-01,2.599516544296109899e+00
1.400000000000000133e-01,2.790124330285565613e+00
1.499999999999999944e-01,2.999500874809367890e+00
1.600000000000000033e-01,3.199622761342343136e+00
1.700000000000000122e-01,3.395132066889294808e+00
1.799999999999999933e-01,3.599364734588159198e+00
1.900000000000000022e-01,3.799685116626172920e+00
2.000000000000000111e-01,3.997374758067895328e+00
2.099999999999999922e-01,4.199373127607874068e+00
2.200000000000000011e-01,4.399693510175466393e+00
2.300000000000000100e-01,4.598360009919539415e+00
2.399999999999999911e-01,4.799392877366708277e+00
2.500000000000000000e-01,4.999684633521412458e+00
2.600000000000000089e-01,5.198614292295695272e+00
2.700000000000000178e-01,5.399320145482040978e+00
2.800000000000000266e-01,5.599689500952244714e+00
2.899999999999999800e-01,5.798752555334840686e+00
2.999999999999999889e-01,5.999162204441862656e+00
3.099999999999999978e-01,6.199716614098275791e+00
3.200000000000000067e-01,6.398790967217330206e+00
3.300000000000000155e-01,6.599356583776949670e+00
3.400000000000000244e-01,6.799683133934609103e+00
3.500000000000000333e-01,6.998565772455759060e+00
3.599999999999999867e-01,7.199466981800693333e+00
3.699999999999999956e-01,7.399746612177678706e+00
3.800000000000000044e-01,7.597935754724172597e+00
3.900000000000000133e-01,7.799416814014322519e+00
4.000000000000000222e-01,7.999667641116035455e+00
4.100000000000000311e-01,8.195954676394576310e+00
4.199999999999999845e-01,8.399539168502862196e+00
4.299999999999999933e-01,8.599556045107226154e+00
4.400000000000000022e-01,8.789782868341294630e+00
4.500000000000000111e-01,8.999616184931802820e+00
4.600000000000000200e-01,9.199532224538964797e+00
4.700000000000000289e-01,9.396207315191698939e+00
4.799999999999999822e-01,9.599513567942482339e+00
4.899999999999999911e-01,9.799155052628726992e+00
5.000000000000000000e-01,9.998748499362525521e+00
5.100000000000000089e-01,1.019953918957162209e+01
5.200000000000000178e-01,1.039730721096231036e+01
5.300000000000000266e-01,1.059928562635635885e+01
5.400000000000000355e-01,1.079933134160339847e+01
5.500000000000000444e-01,1.098728050860119509e+01
5.600000000000000533e-01,1.119941326505773382e+01
5.700000000000000622e-01,1.139879719707587036e+01
5.799999999999999600e-01,1.159864880048888125e+01
5.899999999999999689e-01,1.179914842713226086e+01
5.999999999999999778e-01,1.198955809518748694e+01
6.099999999999999867e-01,1.219897206914497367e+01
6.199999999999999956e-01,1.239835620275576744e+01
6.300000000000000044e-01,1.259790926998354621e+01
6.400000000000000133e-01,1.279873274618743650e+01
6.500000000000000222e-01,1.298003048145005245e+01
6.600000000000000311e-01,1.319850620436940858e+01
6.700000000000000400e-01,1.339524987831406477e+01
6.800000000000000488e-01,1.359772938759375371e+01
6.900000000000000577e-01,1.379702461566646932e+01
7.000000000000000666e-01,1.399474478139876865e+01
7.099999999999999645e-01,1.419647491745809376e+01
7.199999999999999734e-01,1.435449913433896718e+01
7.299999999999999822e-01,1.459500355389623572e+01
7.399999999999999911e-01,1.476441951175497103e+01
7.500000000000000000e-01,1.499131851659461567e+01
7.600000000000000089e-01,1.516206802515557150e+01
7.700000000000000178e-01,1.538056258515514507e+01
7.800000000000000266e-01,1.553948803229626741e+01
7.900000000000000355e-01,1.558665517592013394e+01
8.000000000000000444e-01,1.585311131390284167e+01
8.100000000000000533e-01,1.590157251319861409e+01
8.200000000000000622e-01,1.592110044609998276e+01
8.300000000000000711e-01,1.593502902828912404e+01
8.399999999999999689e-01,1.594646466796713824e+01
8.499999999999999778e-01,1.594683804482277623e+01
8.599999999999999867e-01,1.595382843257852556e+01
8.699999999999999956e-01,1.596118853569345220e+01
8.800000000000000044e-01,1.596667015006671519e+01
8.900000000000000133e-01,1.596075925483412661e+01
9.000000000000000222e-01,1.597383916913352131e+01
9.100000000000000311e-01,1.597532677540888990e+01
9.200000000000000400e-01,1.597081681920036011e+01
9.300000000000000488e-01,1.597542729523284954e+01
9.400000000000000577e-01,1.598025010338741403e+01
9.500000000000000666e-01,1.899862991810915958e+01
9.599999999999999645e-01,1.919883833246216653e+01
9.699999999999999734e-01,1.939885438758109260e+01
9.799999999999999822e-01,1.959874549386693943e+01
9.899999999999999911e-01,1.979907552347260591e+01
1.000000000000000000e+00,1.999941626088939728e+01
1.010000000000000009e+00,2.019956053120652228e+01
1.020000000000000018e+00,2.039956717672885844e+01
1.030000000000000027e+00,2.059957313877560026e+01
1.040000000000000036e+00,2.079965530675331209e+01
1.050000000000000044e+00,2.099967379124688094e+01
1.060000000000000053e+00,2.119973023831428804e+01
1.070000000000000062e+00,2.139972187613388144e+01
1.080000000000000071e+00,2.159978942519293099e+01
1.090000000000000080e+00,2.179975872361857014e+01
1.100000000000000089e+00,2.199983085384998560e+01
