I_normalized,V_normalized
0.000000000000000000e+00,3.762570931605485032e-12
1.000000000000000021e-02,1.914468368971418422e-01
2.000000000000000042e-02,2.984950178957284650e-01
2.999999999999999889e-02,5.983965911306913243e-01
4.000000000000000083e-02,7.976042467749959730e-01
5.000000000000000278e-02,9.403757709631258566e-01
5.999999999999999778e-02,1.199047970350405334e+00
7.000000000000000666e-02,1.398916078406526209e+00
8.000000000000000167e-02,1.562091711080684009e+00
8.999999999999999667e-02,1.799353268757309277e+00
1.000000000000000056e-01,1.999283311014816267e+00
1.100000000000000006e-01,2.179319651313226913e+00
1.199999999999999956e-01,2.399323898566157354e+00
1.300000000000000044e-01,2.599507085275850837e+00
1.400000000000000133e-01,2.789623952617185765e+00
1.499999999999999944e-01,2.999354922880923979e+00
1.600000000000000033e-01,3.199607505063593038e+00
1.700000000000000122e-01,3.395163906311317703e+00
1.799999999999999933e-01,3.599470771148590487e+00
1.900000000000000022e-01,3.799658205503066100e+00
2.000000000000000111e-01,3.997266633790559354e+00
2.099999999999999922e-01,4.199403045165536419e+00
2.200000000000000011e-01,4.399712233396344097e+00
2.300000000000000100e-01,4.598106537257508286e+00
2.399999999999999911e-01,4.799310012608899001e+00
2.500000000000000000e-01,4.999754595776155774e+00
2.600000000000000089e-01,5.198653580805456365e+00
2.700000000000000178e-01,5.399334461568017218e+00
2.800000000000000266e-01,5.599761821396366912e+00
2.899999999999999800e-01,5.798774106004995765e+00
2.999999999999999889e-01,5.998973654329120109e+00
3.099999999999999978e-01,6.199731908208214293e+00
3.200000000000000067e-01,6.398788953008149427e+00
3.300000000000000155e-01,6.599371127826116457e+00
3.400000000000000244e-01,6.799750998746911357e+00
3.500000000000000333e-01,6.998587052660607100e+00
3.599999999999999867e-01,7.199390467543604011e+00
3.699999999999999956e-01,7.399651463729443712e+00
3.800000000000000044e-01,7.597958075789613019e+00
3.900000000000000133e-01,7.799584707698135055e+00
4.000000000000000222e-01,7.999668840702041095e+00
4.100000000000000311e-01,8.195925796084519988e+00
4.199999999999999845e-01,8.399578923487254656e+00
4.299999999999999933e-01,8.599663694901861888e+00
4.400000000000000022e-01,8.789839791202375352e+00
4.500000000000000111e-01,8.999564776911180175e+00
4.600000000000000200e-01,9.199436981159719195e+00
4.700000000000000289e-01,9.396287950918226883e+00
4.799999999999999822e-01,9.599647360675259478e+00
4.899999999999999911e-01,9.799121086808874281e+00
5.000000000000000000e-01,9.998862070721170170e+00
5.100000000000000089e-01,1.019952652478545829e+01
5.200000000000000178e-01,1.039748638484004495e+01
5.300000000000000266e-01,1.059932934816498573e+01
5.400000000000000355e-01,1.079941366656743895e+01
5.500000000000000444e-01,1.098704882960781504e+01
5.600000000000000533e-01,1.119931729950321575e+01
5.700000000000000622e-01,1.139864573487950850e+01
5.799999999999999600e-01,1.159860540260783957e+01
5.899999999999999689e-01,1.179926196074033662e+01
5.999999999999999778e-01,1.198907422072442941e+01
6.099999999999999867e-01,1.219911675685452579e+01
6.199999999999999956e-01,1.239833587469889054e+01
6.300000000000000044e-01,1.259805227235426273e+01
6.400000000000000133e-01,1.279872493846045067e+01
6.500000000000000222e-01,1.298011620057461890e+01
6.600000000000000311e-01,1.319844494853337480e+01
6.700000000000000400e-01,1.339548862918747574e+01
6.800000000000000488e-01,1.359757851444154575e+01
6.900000000000000577e-01,1.379686001033801368e+01
7.000000000000000666e-01,1.399474842956433740e+01
7.099999999999999645e-01,1.419655036873135501e+01
7.199999999999999734e-01,1.435573319009212057e+01
7.299999999999999822e-01,1.459495371744437264e+01
7.399999999999999911e-01,1.476445994762926794e+01
7.500000000000000000e-01,1.499131244951519726e+01
7.600000000000000089e-01,1.516203353438691259e+01
7.700000000000000178e-01,1.538111848123529768e+01
7.800000000000000266e-01,1.553950348204052290e+01
7.900000000000000355e-01,1.558413983804388714e+01
8.000000000000000444e-01,1.585314609391781104e+01
8.100000000000000533e-01,1.590001339609078812e+01
8.200000000000000622e-01,1.592389074252145953e+01
8.300000000000000711e-01,1.593535704600875036e+01
8.399999999999999689e-01,1.594124374372694852e+01
8.499999999999999778e-01,1.595378656745625179e+01
8.599999999999999867e-01,1.595702904712380210e+01
8.699999999999999956e-01,1.595812515016539734e+01
8.800000000000000044e-01,1.595992420630448727e+01
8.900000000000000133e-01,1.597219728903516334e+01
9.000000000000000222e-01,1.596487906084230701e+01
9.100000000000000311e-01,1.596867663820639116e+01
9.200000000000000400e-01,1.597818878696849865e+01
9.300000000000000488e-01,1.597850503053117421e+01
9.400000000000000577e-01,1.597881484303056254e+01
9.500000000000000666e-01,1.899862701191483083e+01
9.599999999999999645e-01,1.919886971944973197e+01
9.699999999999999734e-01,1.939906472897660805e+01
9.799999999999999822e-01,1.959886785670336451e+01
9.899999999999999911e-01,1.979913286085796642e+01
1.000000000000000000e+00,1.999941656656173805e+01
1.010000000000000009e+00,2.019946205664576055e+01
1.020000000000000018e+00,2.039955470945200844e+01
1.030000000000000027e+00,2.059963361672272342e+01
1.040000000000000036e+00,2.079961921403457481e+01
1.050000000000000044e+00,2.099965370622242844e+01
1.060000000000000053e+00,2.119966219597500157e+01
1.070000000000000062e+00,2.139971811483273001e+01
1.080000000000000071e+00,2.159969414460837456e+01
1.090000000000000080e+00,2.179976341785740956e+01
1.100000000000000089e+00,2.199972615424926303e+01
