I_normalized,V_normalized
0.000000000000000000e+00,-7.216199044258153389e-12
1.000000000000000021e-02,1.884835064804770699e-01
2.000000000000000042e-02,2.919675426117933070e-01
2.999999999999999889e-02,5.969064754453652366e-01
4.000000000000000083e-02,7.956021661554666391e-01
5.000000000000000278e-02,9.254099819129767424e-01
5.999999999999999778e-02,1.198167175900506143e+00
7.000000000000000666e-02,1.397957446287184213e+00
8.000000000000000167e-02,1.551358857263805069e+00
8.999999999999999667e-02,1.798681052500841426e+00
1.000000000000000056e-01,1.998773528518619891e+00
1.100000000000000006e-01,2.169344196194348484e+00
1.199999999999999956e-01,2.398934616867852032e+00
1.300000000000000044e-01,2.598964783414535962e+00
1.400000000000000133e-01,2.783818811595236919e+00
1.499999999999999944e-01,2.998774571761925412e+00
1.600000000000000033e-01,3.199140247692864314e+00
1.700000000000000122e-01,3.390890447550211295e+00
1.799999999999999933e-01,3.598655675194289305e+00
1.900000000000000022e-01,3.799242287956153596e+00
2.000000000000000111e-01,3.994352294809493387e+00
2.099999999999999922e-01,4.198349073230216000e+00
2.200000000000000011e-01,4.399232228650697074e+00
2.300000000000000100e-01,4.596278743253373378e+00
2.399999999999999911e-01,4.798461658557908294e+00
2.500000000000000000e-01,4.999228231821218671e+00
2.600000000000000089e-01,5.196890562970851057e+00
2.700000000000000178e-01,5.398160028641022734e+00
2.800000000000000266e-01,5.599215700694193387e+00
2.899999999999999800e-01,5.796991052737405781e+00
2.999999999999999889e-01,5.998143658114996057e+00
3.099999999999999978e-01,6.199124680157408918e+00
3.200000000000000067e-01,6.396586140433495160e+00
3.300000000000000155e-01,6.598018670809887354e+00
3.400000000000000244e-01,6.799019101530287656e+00
3.500000000000000333e-01,6.995745705971557982e+00
3.599999999999999867e-01,7.198086423097977082e+00
3.699999999999999956e-01,7.398803123477094346e+00
3.800000000000000044e-01,7.593431243752518434e+00
3.900000000000000133e-01,7.798015585210462675e+00
4.000000000000000222e-01,7.998394545883734885e+00
4.100000000000000311e-01,8.187430075959630571e+00
4.199999999999999845e-01,8.397728423166125111e+00
4.299999999999999933e-01,8.597741102365036525e+00
4.400000000000000022e-01,8.771539373343806290e+00
4.500000000000000111e-01,8.997090729623927530e+00
4.600000000000000200e-01,9.196228150902312493e+00
4.700000000000000289e-01,9.344093823297892953e+00
4.799999999999999822e-01,9.595974592042628259e+00
4.899999999999999911e-01,9.792022699662240370e+00
5.000000000000000000e-01,9.900979909915786692e+00
5.100000000000000089e-01,1.019268153655997189e+01
5.200000000000000178e-01,1.037467508444066056e+01
5.300000000000000266e-01,1.058414983803923271e+01
5.400000000000000355e-01,1.077994225189869404e+01
5.500000000000000444e-01,1.091640889373808143e+01
5.600000000000000533e-01,1.095204399552366503e+01
5.700000000000000622e-01,1.129762345210256491e+01
5.799999999999999600e-01,1.137232325935979560e+01
5.899999999999999689e-01,1.140592721097703510e+01
5.999999999999999778e-01,1.142238238803971662e+01
6.099999999999999867e-01,1.142678706701535063e+01
6.199999999999999956e-01,1.143395500381802776e+01
6.300000000000000044e-01,1.145565485059461963e+01
6.400000000000000133e-01,1.145590441189981235e+01
6.500000000000000222e-01,1.146534468707219645e+01
6.600000000000000311e-01,1.146500644266148328e+01
6.700000000000000400e-01,1.147001473634455948e+01
6.800000000000000488e-01,1.147877394980646137e+01
6.900000000000000577e-01,1.147141493027158532e+01
7.000000000000000666e-01,1.396358832323711852e+01
7.099999999999999645e-01,1.419754618249011457e+01
7.199999999999999734e-01,1.439172825265888633e+01
7.299999999999999822e-01,1.459825465931922750e+01
7.399999999999999911e-01,1.478856412165431955e+01
7.500000000000000000e-01,1.499865953704760280e+01
7.600000000000000089e-01,1.519368129916082033e+01
7.700000000000000178e-01,1.539892992784266745e+01
7.800000000000000266e-01,1.559533438126306315e+01
7.900000000000000355e-01,1.579920311923819121e+01
8.000000000000000444e-01,1.599574397793010228e+01
8.100000000000000533e-01,1.619936801229630419e+01
8.200000000000000622e-01,1.639855299261195043e+01
8.300000000000000711e-01,1.659941471204320251e+01
8.399999999999999689e-01,1.679933292930560285e+01
8.499999999999999778e-01,1.699933046364098033e+01
8.599999999999999867e-01,1.719951879515788917e+01
8.699999999999999956e-01,1.739902567802852573e+01
8.800000000000000044e-01,1.759956204694566395e+01
8.900000000000000133e-01,1.779966170702035910e+01
9.000000000000000222e-01,1.799943857608083775e+01
9.100000000000000311e-01,1.819951307303178467e+01
9.200000000000000400e-01,1.839969820691404934e+01
9.300000000000000488e-01,1.859972468319855210e+01
9.400000000000000577e-01,1.879978191297778878e+01
9.500000000000000666e-01,1.899975186229181290e+01
9.599999999999999645e-01,1.919981865539237376e+01
9.699999999999999734e-01,1.939983910086498042e+01
9.799999999999999822e-01,1.959977400018177462e+01
9.899999999999999911e-01,1.979976023100976334e+01
1.000000000000000000e+00,1.999985035904879638e+01
1.010000000000000009e+00,2.019988266226647866e+01
1.020000000000000018e+00,2.039989686150356007e+01
1.030000000000000027e+00,2.059991602860821303e+01
1.040000000000000036e+00,2.079992348468882923e+01
1.050000000000000044e+00,2.099987987448017890e+01
1.060000000000000053e+00,2.119991967747580119e+01
1.070000000000000062e+00,2.139992522082345516e+01
1.080000000000000071e+00,2.159990165156745690e+01
1.090000000000000080e+00,2.179992917830498556e+01
1.100000000000000089e+00,2.199989784399194548e+01
